YEAR,YEAR_TYPE,SMRY_CTGRY,SRVC_CTGRY,PRVDR_ID,PRVDR_NAME,PRVDR_CITY,STATE,PRVDR_ZIP,BENE_DSTNCT_CNT,TOT_EPSD_STAY_CNT,TOT_SRVC_DAYS,TOT_CHRG_AMT,TOT_ALOWD_AMT,TOT_MDCR_PYMT_AMT,TOT_MDCR_STDZD_PYMT_AMT,BENE_DUAL_PCT,BENE_RRL_PCT,BENE_AVG_AGE,BENE_MALE_PCT,BENE_FEML_PCT,BENE_RACE_WHT_PCT,BENE_RACE_BLACK_PCT,BENE_RACE_API_PCT,BENE_RACE_HSPNC_PCT,BENE_RACE_NATIND_PCT,BENE_RACE_UNK_PCT,BENE_RACE_OTHR_PCT,BENE_AVG_RISK_SCRE,BENE_CC_BH_ADHD_OTHCD_V1_PCT,BENE_CC_BH_ALCOHOL_DRUG_V1_PCT,BENE_CC_BH_ALZ_NONALZDEM_V2_PCT,BENE_CC_BH_ANXIETY_V1_PCT,BENE_CC_BH_BIPOLAR_V1_PCT,BENE_CC_BH_DEPRESS_V1_PCT,BENE_CC_BH_MOOD_V2_PCT,BENE_CC_BH_PD_V1_PCT,BENE_CC_BH_PTSD_V1_PCT,BENE_CC_BH_SCHIZO_OTHPSY_V1_PCT,BENE_CC_BH_TOBACCO_V1_PCT,BENE_CC_PH_AFIB_V2_PCT,BENE_CC_PH_ARTHRITIS_V2_PCT,BENE_CC_PH_ASTHMA_V2_PCT,BENE_CC_PH_CANCER6_V2_PCT,BENE_CC_PH_CKD_V2_PCT,BENE_CC_PH_COPD_V2_PCT,BENE_CC_PH_DIABETES_V2_PCT,BENE_CC_PH_HF_NONIHD_V2_PCT,BENE_CC_PH_HYPERLIPIDEMIA_V2_PCT,BENE_CC_PH_HYPERTENSION_V2_PCT,BENE_CC_PH_ISCHEMICHEART_V2_PCT,BENE_CC_PH_OSTEOPOROSIS_V2_PCT,BENE_CC_PH_PARKINSON_V2_PCT,BENE_CC_PH_STROKE_TIA_V2_PCT,PRMRY_DX_INFCTN_PCT,PRMRY_DX_NEOBLD_PCT,PRMRY_DX_ENDONUTRMET_PCT,PRMRY_DX_MNTBEHNEUDIS_PCT,PRMRY_DX_NERVSYSTM_PCT,PRMRY_DX_ENTSYS_PCT,PRMRY_DX_CIRCSYSTM_PCT,PRMRY_DX_RSPSYSTM_PCT,PRMRY_DX_DIGSYSTM_PCT,PRMRY_DX_SKNMUSSYSTM_PCT,PRMRY_DX_GUSYSTM_PCT,PRMRY_DX_PRGPERICONG_PCT,PRMRY_DX_SXILLDEF_PCT,PRMRY_DX_INJPOIS_PCT,PRMRY_DX_HLTHSRV_PCT
2021,FY,NATION,SNF,"NATIONAL TOTAL","NATIONAL TOTAL","NATIONAL TOTAL","NATIONAL TOTAL","NATIONAL TOTAL",1387670,1880314,50001998,34175442312,30940432768,25943260029,25977975500,42,8,79,41,59,80,11,2,5,1,1,1,2.56,3,14,49,49,13,55,61,4,2,14,17,40,67,13,19,50,38,49,48,81,94,50,23,8,31,4,3,3,2,10,0,16,9,2,10,6,0,2,16,20
2021,FY,STATE,SNF,"STATE TOTAL","STATE TOTAL","STATE TOTAL",AK,"STATE TOTAL",733,842,26940,36497527,18494261,15736624,13162439,38,18,76,44,56,77,3,4,2,10,*,*,2.41,*,21,31,33,7,42,46,3,4,4,23,40,65,13,17,43,33,44,46,73,91,42,26,6,33,4,3,2,*,4,0,18,4,2,11,3,*,2,27,19
2021,FY,STATE,SNF,"STATE TOTAL","STATE TOTAL","STATE TOTAL",AL,"STATE TOTAL",19436,24975,620614,322609796,297275600,239980255,310403036,39,13,78,39,61,81,18,0,1,0,0,0,2.37,2,14,53,48,10,47,58,4,2,14,20,40,70,12,17,50,40,51,49,80,96,50,21,7,32,2,3,3,4,9,0,18,11,2,6,7,*,1,16,21
2021,FY,STATE,SNF,"STATE TOTAL","STATE TOTAL","STATE TOTAL",AR,"STATE TOTAL",17122,22580,627661,434439347,328878228,265678081,326305897,52,23,79,38,62,87,10,0,1,1,0,0,2.34,3,11,56,51,26,60,63,5,2,15,19,40,65,10,16,44,39,50,50,76,95,52,21,8,32,3,2,2,2,10,*,15,10,2,7,6,0,2,12,30
2021,FY,STATE,SNF,"STATE TOTAL","STATE TOTAL","STATE TOTAL",AZ,"STATE TOTAL",20685,26071,538564,421365110,328253226,288178492,299906994,20,3,79,45,55,82,3,1,7,6,1,1,2.43,1,20,36,41,9,46,51,3,3,7,17,42,65,16,21,51,36,46,42,80,94,48,25,7,29,6,2,2,1,8,0,13,9,3,10,8,0,1,22,16
2021,FY,STATE,SNF,"STATE TOTAL","STATE TOTAL","STATE TOTAL",CA,"STATE TOTAL",119593,171454,5021642,3942986851,4056178276,3511367323,2632128756,56,1,78,44,56,64,8,9,16,1,1,1,2.67,5,20,48,44,14,54,59,4,3,23,18,37,62,15,17,49,38,52,46,79,94,47,24,9,30,5,3,4,3,12,0,16,10,2,9,6,0,2,14,18
2021,FY,STATE,SNF,"STATE TOTAL","STATE TOTAL","STATE TOTAL",CO,"STATE TOTAL",15558,19594,476930,362556896,290786230,249535730,253094652,33,9,79,41,59,85,3,1,8,0,1,1,2.31,2,19,43,41,11,51,57,4,4,7,16,36,67,14,18,46,37,38,40,70,88,39,27,7,25,3,3,2,2,9,0,12,8,3,9,5,0,2,22,22
2021,FY,STATE,SNF,"STATE TOTAL","STATE TOTAL","STATE TOTAL",CT,"STATE TOTAL",21590,29587,708449,537341134,476980064,412714040,374495552,48,0,81,41,59,86,7,1,4,0,1,1,2.45,3,14,49,54,14,53,63,6,3,14,14,41,63,15,21,44,34,42,46,81,93,47,23,7,28,5,4,3,2,10,0,15,10,3,9,6,0,2,16,18
2021,FY,STATE,SNF,"STATE TOTAL","STATE TOTAL","STATE TOTAL",DC,"STATE TOTAL",2216,2777,81324,71861663,52502908,44092233,43454483,62,*,77,45,55,26,68,1,3,*,*,1,3.02,1,19,50,32,12,52,57,2,3,15,20,32,63,14,21,51,30,55,48,80,96,47,15,6,48,3,5,4,2,11,*,19,9,2,11,7,*,3,13,15
2021,FY,STATE,SNF,"STATE TOTAL","STATE TOTAL","STATE TOTAL",DE,"STATE TOTAL",5464,7168,197788,131640553,122265183,102636709,101832075,33,1,80,40,60,81,16,1,2,0,1,0,2.48,2,14,49,51,14,61,69,2,2,12,16,43,65,13,20,49,37,49,46,87,95,55,21,7,32,4,3,3,1,7,0,17,10,3,10,8,*,2,17,18
