YEAR,YEAR_TYPE,SMRY_CTGRY,SRVC_CTGRY,PRVDR_ID,PRVDR_NAME,PRVDR_CITY,STATE,PRVDR_ZIP,BENE_DSTNCT_CNT,TOT_EPSD_STAY_CNT,TOT_SRVC_DAYS,TOT_CHRG_AMT,TOT_ALOWD_AMT,TOT_MDCR_PYMT_AMT,TOT_MDCR_STDZD_PYMT_AMT,BENE_DUAL_PCT,BENE_RRL_PCT,BENE_AVG_AGE,BENE_MALE_PCT,BENE_FEML_PCT,BENE_RACE_WHT_PCT,BENE_RACE_BLACK_PCT,BENE_RACE_API_PCT,BENE_RACE_HSPNC_PCT,BENE_RACE_NATIND_PCT,BENE_RACE_UNK_PCT,BENE_RACE_OTHR_PCT,BENE_AVG_RISK_SCRE,BENE_CC_BH_ADHD_OTHCD_V1_PCT,BENE_CC_BH_ALCOHOL_DRUG_V1_PCT,BENE_CC_BH_ALZ_NONALZDEM_V2_PCT,BENE_CC_BH_ANXIETY_V1_PCT,BENE_CC_BH_BIPOLAR_V1_PCT,BENE_CC_BH_DEPRESS_V1_PCT,BENE_CC_BH_MOOD_V2_PCT,BENE_CC_BH_PD_V1_PCT,BENE_CC_BH_PTSD_V1_PCT,BENE_CC_BH_SCHIZO_OTHPSY_V1_PCT,BENE_CC_BH_TOBACCO_V1_PCT,BENE_CC_PH_AFIB_V2_PCT,BENE_CC_PH_ARTHRITIS_V2_PCT,BENE_CC_PH_ASTHMA_V2_PCT,BENE_CC_PH_CANCER6_V2_PCT,BENE_CC_PH_CKD_V2_PCT,BENE_CC_PH_COPD_V2_PCT,BENE_CC_PH_DIABETES_V2_PCT,BENE_CC_PH_HF_NONIHD_V2_PCT,BENE_CC_PH_HYPERLIPIDEMIA_V2_PCT,BENE_CC_PH_HYPERTENSION_V2_PCT,BENE_CC_PH_ISCHEMICHEART_V2_PCT,BENE_CC_PH_OSTEOPOROSIS_V2_PCT,BENE_CC_PH_PARKINSON_V2_PCT,BENE_CC_PH_STROKE_TIA_V2_PCT,PRMRY_DX_INFCTN_PCT,PRMRY_DX_NEOBLD_PCT,PRMRY_DX_ENDONUTRMET_PCT,PRMRY_DX_MNTBEHNEUDIS_PCT,PRMRY_DX_NERVSYSTM_PCT,PRMRY_DX_ENTSYS_PCT,PRMRY_DX_CIRCSYSTM_PCT,PRMRY_DX_RSPSYSTM_PCT,PRMRY_DX_DIGSYSTM_PCT,PRMRY_DX_SKNMUSSYSTM_PCT,PRMRY_DX_GUSYSTM_PCT,PRMRY_DX_PRGPERICONG_PCT,PRMRY_DX_SXILLDEF_PCT,PRMRY_DX_INJPOIS_PCT,PRMRY_DX_HLTHSRV_PCT
2022,FY,NATION,SNF,"NATIONAL TOTAL","NATIONAL TOTAL","NATIONAL TOTAL","NATIONAL TOTAL","NATIONAL TOTAL",1376869,1898281,50426293,35180395943,31750339926,26454636756,26488903321,40,8,79,41,59,80,10,2,5,1,1,1,2.53,2,14,47,49,13,55,60,4,2,13,16,40,67,14,19,50,37,49,48,82,94,50,24,8,31,4,3,3,2,11,0,16,10,2,10,6,0,2,17,17
2022,FY,STATE,SNF,"STATE TOTAL","STATE TOTAL","STATE TOTAL",AK,"STATE TOTAL",788,906,28816,45409503,19348692,16201137,14018443,44,18,76,40,60,80,2,3,2,10,*,*,2.41,2,22,34,36,9,42,45,3,4,4,23,42,63,14,20,45,36,47,44,73,92,46,26,4,32,2,3,3,1,4,0,18,4,2,13,4,0,2,28,18
2022,FY,STATE,SNF,"STATE TOTAL","STATE TOTAL","STATE TOTAL",AL,"STATE TOTAL",18011,23096,571662,296358356,272948855,218715926,287023103,37,14,79,37,63,82,17,0,0,0,0,0,2.34,2,14,51,48,10,46,57,4,2,12,19,41,71,12,18,50,39,50,50,82,97,51,22,7,33,2,2,3,3,9,0,19,12,2,6,8,*,1,18,17
2022,FY,STATE,SNF,"STATE TOTAL","STATE TOTAL","STATE TOTAL",AR,"STATE TOTAL",15780,21067,569289,445770529,301407781,242618438,300406363,46,22,79,39,61,87,10,0,1,1,0,0,2.38,2,12,52,51,22,59,62,4,2,13,20,41,64,11,17,46,40,50,51,78,95,52,22,7,32,4,2,3,2,12,*,16,11,2,7,6,0,2,15,21
2022,FY,STATE,SNF,"STATE TOTAL","STATE TOTAL","STATE TOTAL",AZ,"STATE TOTAL",21798,27652,583173,464275683,357391984,310972117,327392844,19,2,79,44,56,83,3,1,7,5,1,1,2.4,2,19,35,42,10,47,51,2,2,7,16,42,65,16,21,50,35,46,41,80,93,48,26,7,30,5,2,2,1,10,0,13,10,3,10,7,*,1,24,15
2022,FY,STATE,SNF,"STATE TOTAL","STATE TOTAL","STATE TOTAL",CA,"STATE TOTAL",129040,199613,5793110,4572694299,4688542928,4019988424,3041298892,55,2,78,44,56,64,8,9,16,1,1,1,2.63,4,20,47,44,14,53,59,4,3,22,17,37,62,16,17,49,36,51,47,80,94,47,25,9,31,4,3,4,3,14,0,17,11,2,10,6,0,1,15,15
2022,FY,STATE,SNF,"STATE TOTAL","STATE TOTAL","STATE TOTAL",CO,"STATE TOTAL",15457,19846,481256,350778916,293577032,249652335,257710892,30,9,79,42,58,86,3,1,8,0,1,1,2.31,2,18,42,41,11,51,56,4,4,7,16,36,67,13,19,48,36,37,41,72,88,40,28,7,26,4,3,3,2,10,0,12,9,2,10,6,0,1,22,20
2022,FY,STATE,SNF,"STATE TOTAL","STATE TOTAL","STATE TOTAL",CT,"STATE TOTAL",21359,29835,693379,585451591,469218284,403949661,371250900,45,0,81,41,59,86,6,1,4,*,1,*,2.44,3,14,46,55,14,52,60,6,3,13,13,42,65,15,21,45,34,42,46,83,93,47,24,7,29,5,4,3,1,11,0,15,10,3,10,6,0,3,17,15
2022,FY,STATE,SNF,"STATE TOTAL","STATE TOTAL","STATE TOTAL",DC,"STATE TOTAL",2068,2594,77052,66831424,49338741,40716192,40637482,63,*,77,45,55,25,69,1,2,0,1,1,2.92,1,17,51,34,14,47,55,2,3,15,19,33,62,14,20,50,29,56,47,80,96,47,15,6,44,3,4,3,1,13,0,17,9,2,13,6,0,2,13,17
2022,FY,STATE,SNF,"STATE TOTAL","STATE TOTAL","STATE TOTAL",DE,"STATE TOTAL",5401,7120,194853,131715845,124243280,104091623,103321042,32,1,80,39,61,80,16,1,1,*,1,*,2.54,2,13,48,53,14,62,72,2,2,11,14,43,68,13,20,49,36,50,46,88,95,53,22,7,33,4,3,2,1,10,*,18,10,2,10,7,*,2,18,14
2022,FY,STATE,SNF,"STATE TOTAL","STATE TOTAL","STATE TOTAL",FL,"STATE TOTAL",113059,158419,4047411,2613134405,2323522955,1893023202,2132810716,41,3,80,41,59,79,10,1,9,0,1,1,2.79,3,18,54,55,17,62,68,4,2,16,16,44,69,12,20,53,42,51,49,86,96,58,24,9,34,3,3,2,1,14,0,17,9,2,10,6,0,3,17,16
2022,FY,STATE,SNF,"STATE TOTAL","STATE TOTAL","STATE TOTAL",GA,"STATE TOTAL",26429,34691,953513,556536485,533603006,431668516,488642059,45,11,78,41,59,74,23,1,1,0,1,0,2.65,2,14,52,46,12,54,58,4,2,12,17,39,62,12,18,52,36,51,49,82,96,47,19,7,35,4,3,3,2,10,0,18,11,2,9,7,0,2,17,16
2022,FY,STATE,SNF,"STATE TOTAL","STATE TOTAL","STATE TOTAL",HI,"STATE TOTAL",2790,3287,90278,88503023,67413956,59031479,48854044,16,*,82,44,56,27,1,55,5,*,*,12,2.32,1,10,42,21,3,24,29,2,1,4,8,36,55,16,21,58,25,49,40,87,94,42,38,6,35,5,3,3,1,5,*,16,9,2,11,6,0,3,23,13
