YEAR,YEAR_TYPE,SMRY_CTGRY,SRVC_CTGRY,PRVDR_ID,PRVDR_NAME,PRVDR_CITY,STATE,PRVDR_ZIP,BENE_DSTNCT_CNT,TOT_EPSD_STAY_CNT,TOT_SRVC_DAYS,TOT_CHRG_AMT,TOT_ALOWD_AMT,TOT_MDCR_PYMT_AMT,TOT_MDCR_STDZD_PYMT_AMT,BENE_DUAL_PCT,BENE_RRL_PCT,BENE_AVG_AGE,BENE_MALE_PCT,BENE_FEML_PCT,BENE_RACE_WHT_PCT,BENE_RACE_BLACK_PCT,BENE_RACE_API_PCT,BENE_RACE_HSPNC_PCT,BENE_RACE_NATIND_PCT,BENE_RACE_UNK_PCT,BENE_RACE_OTHR_PCT,BENE_AVG_RISK_SCRE,BENE_CC_BH_ADHD_OTHCD_V1_PCT,BENE_CC_BH_ALCOHOL_DRUG_V1_PCT,BENE_CC_BH_ALZ_NONALZDEM_V2_PCT,BENE_CC_BH_ANXIETY_V1_PCT,BENE_CC_BH_BIPOLAR_V1_PCT,BENE_CC_BH_DEPRESS_V1_PCT,BENE_CC_BH_MOOD_V2_PCT,BENE_CC_BH_PD_V1_PCT,BENE_CC_BH_PTSD_V1_PCT,BENE_CC_BH_SCHIZO_OTHPSY_V1_PCT,BENE_CC_BH_TOBACCO_V1_PCT,BENE_CC_PH_AFIB_V2_PCT,BENE_CC_PH_ARTHRITIS_V2_PCT,BENE_CC_PH_ASTHMA_V2_PCT,BENE_CC_PH_CANCER6_V2_PCT,BENE_CC_PH_CKD_V2_PCT,BENE_CC_PH_COPD_V2_PCT,BENE_CC_PH_DIABETES_V2_PCT,BENE_CC_PH_HF_NONIHD_V2_PCT,BENE_CC_PH_HYPERLIPIDEMIA_V2_PCT,BENE_CC_PH_HYPERTENSION_V2_PCT,BENE_CC_PH_ISCHEMICHEART_V2_PCT,BENE_CC_PH_OSTEOPOROSIS_V2_PCT,BENE_CC_PH_PARKINSON_V2_PCT,BENE_CC_PH_STROKE_TIA_V2_PCT,PRMRY_DX_INFCTN_PCT,PRMRY_DX_NEOBLD_PCT,PRMRY_DX_ENDONUTRMET_PCT,PRMRY_DX_MNTBEHNEUDIS_PCT,PRMRY_DX_NERVSYSTM_PCT,PRMRY_DX_ENTSYS_PCT,PRMRY_DX_CIRCSYSTM_PCT,PRMRY_DX_RSPSYSTM_PCT,PRMRY_DX_DIGSYSTM_PCT,PRMRY_DX_SKNMUSSYSTM_PCT,PRMRY_DX_GUSYSTM_PCT,PRMRY_DX_PRGPERICONG_PCT,PRMRY_DX_SXILLDEF_PCT,PRMRY_DX_INJPOIS_PCT,PRMRY_DX_HLTHSRV_PCT
2020,FY,PROVIDER,SNF,475018,"The Pines At Rutland Center For Nursing And Rehabi",Rutland,VT,5701,290,362,8255,5198246,5260014,4649157,4767225,43,7,79,43,57,97,*,*,*,0,*,0,2.25,*,16,36,49,8,50,55,4,4,*,16,43,71,18,18,46,47,40,38,74,88,48,26,6,29,*,*,*,*,9,*,22,14,*,7,*,0,*,14,25
2020,FY,PROVIDER,SNF,475019,"St Johnsbury Health & Rehab","Saint Johnsbury",VT,5819,110,135,3135,1743649,1701420,1441946,1479821,55,73,78,44,56,95,0,0,*,0,*,*,2.47,*,17,37,40,15,64,67,*,*,*,16,37,64,14,17,39,35,44,46,68,86,38,22,*,25,*,*,*,*,*,*,18,10,9,8,8,0,*,19,10
2020,FY,PROVIDER,SNF,475020,"Berlin Health & Rehab Ctr",Barre,VT,5641,156,193,4114,2502448,2431787,2081289,2017132,50,8,78,49,51,97,0,*,*,0,*,0,2.64,*,21,30,46,11,54,61,*,*,7,22,40,63,12,16,39,40,44,48,79,89,45,24,*,28,13,*,6,*,*,*,12,13,*,11,6,0,*,17,*
2020,FY,PROVIDER,SNF,475021,"Saint Albans Healthcare And Rehabilitation Center","Saint Albans",VT,5478,83,91,2512,1522074,1379225,1142637,1208783,52,*,77,54,46,99,0,0,0,*,*,0,2.79,*,*,37,46,*,52,54,*,*,*,14,47,73,19,25,49,49,48,64,76,*,57,24,*,27,*,*,*,*,*,0,22,19,*,*,13,0,0,24,0
2020,FY,PROVIDER,SNF,475023,"Pine Heights At Brattleboro Center For Nursing & R",Brattleboro,VT,5301,177,234,6576,3510870,4011099,3388757,3499304,55,76,80,46,54,96,0,*,*,0,*,0,2.3,*,17,40,46,7,55,57,*,*,8,16,34,63,11,20,38,37,40,43,67,92,47,24,8,33,*,*,*,*,11,0,17,10,*,12,*,0,*,19,9
2020,FY,PROVIDER,SNF,475025,"Springfield Health & Rehab",Springfield,VT,5156,132,166,3616,1970371,2033259,1722619,1754947,54,20,79,43,57,98,0,0,0,0,*,*,2.58,*,20,43,50,*,59,65,10,*,9,24,41,67,19,23,52,52,43,58,82,92,57,23,*,23,*,*,7,*,*,0,16,17,8,16,10,0,0,10,7
2020,FY,PROVIDER,SNF,475026,"Newport Health Care Center",Newport,VT,5855,16,21,420,218940,254533,217540,222948,*,100,82,*,*,88,0,0,*,0,0,*,2.68,0,*,*,*,0,*,*,0,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0,0,*,0,*,*,*,0,0,0,0,*,*
2020,FY,PROVIDER,SNF,475027,"Bennington Health & Rehab",Bennington,VT,5201,88,120,2583,1552111,1485725,1240837,1277957,61,*,76,49,51,97,0,0,*,0,*,0,2.94,*,30,42,56,*,66,70,*,*,14,34,45,58,18,*,44,52,47,50,72,88,59,19,*,27,*,*,11,*,*,0,16,30,*,*,*,0,*,15,*
2020,FY,PROVIDER,SNF,475029,"Svhc Centers For Living And Rehabilitation",Bennington,VT,5201,273,358,8620,6653393,4843974,4120273,4231584,38,*,81,37,63,96,0,*,*,0,*,*,2.45,*,11,34,40,*,47,50,5,*,5,15,44,64,21,21,41,40,40,48,71,88,50,26,9,29,4,5,3,*,7,0,15,13,*,7,8,*,*,22,14
2020,FY,PROVIDER,SNF,475030,"Elderwood At Burlington",Burlington,VT,5408,293,357,8484,5357758,4817979,4131947,4137409,41,7,80,44,56,98,*,0,*,0,*,0,2.43,*,13,34,44,5,52,57,5,6,7,15,46,73,12,24,45,38,42,43,74,89,50,26,7,27,4,4,*,*,8,0,20,11,3,9,4,0,*,24,8
2020,FY,PROVIDER,SNF,475033,"Crescent Manor Care Ctrs",Bennington,VT,5201,26,36,1141,1233907,672292,559735,575521,*,*,75,42,58,92,0,0,*,0,*,0,2.82,0,*,46,46,*,*,*,*,*,*,*,42,*,*,*,*,54,*,46,*,*,46,*,*,*,0,0,*,*,*,0,*,*,0,*,*,0,*,*,*
2020,FY,PROVIDER,SNF,475037,"Barre Gardens Nursing And Rehab Llc",Barre,VT,5641,121,151,4407,3498970,2596003,2120737,2179098,54,*,78,45,55,98,0,0,0,0,*,*,2.26,*,24,42,40,21,64,66,*,*,*,24,33,60,17,21,46,44,48,49,73,87,48,28,*,26,*,*,*,*,9,*,20,23,*,9,*,0,*,11,*
2020,FY,PROVIDER,SNF,475039,"Rutland Healthcare And Rehabilitation Center",Rutland,VT,5701,93,113,2681,1625488,1568324,1345371,1331184,71,*,78,41,59,98,*,0,0,0,0,*,2.6,*,16,47,56,*,56,60,*,*,*,22,55,69,*,33,42,45,44,35,83,87,45,17,*,31,*,*,*,*,*,0,18,13,*,10,11,0,*,16,*
2020,FY,PROVIDER,SNF,475040,"Green Mountain Nursing And Rehabilitation",Colchester,VT,5446,76,100,3126,1727919,1573801,1229099,1316021,36,*,81,29,71,97,*,0,0,0,*,0,2.11,0,*,33,47,*,42,53,*,*,*,16,37,74,14,24,37,33,30,45,76,*,54,26,*,28,*,*,0,*,*,0,19,*,*,*,12,*,*,23,*
